ForestName plotid dbh stump SpeciesCode
309 Kibale 9 14.6 0 FunEla
310 Kibale 9 16.3 0 FunEla
311 Kibale 9 29.7 0 MilExe
312 Kibale 9 51.5 0 MilExe
313 Kibale 9 4.4 0 OxySpe
314 Kibale 9 12.9 0 RotUrc
315 Kibale 9 12.9 0 RotUrc
316 Kibale 9 7.1 0 RotUrc
317 Kibale 9 16.4 0 RotUrc
318 Kibale 9 13.2 0 TecNob
319 Kibale 9 4.5 0 TecNob
320 Kibale 10 4.5 0 AniAlt
321 Kibale 10 96 0 AlbZyg
322 Kibale 10 4.5 0 MimBag
323 Kibale 10 8.4 0 RotUrc
324 Kibale 10 16.4 0 RotUrc
325 Kibale 10 14.2 0 RotUrc
326 Kibale 10 23.1 0 RotUrc
327 Kibale 10 9.3 0 TriMad
328 Kibale 11 22 0 CanSch
329 Kibale 11 39.5 0 MaeEmi
330 Kibale 11 40.1 0 MaeEmi
331 Kibale 11 10.3 0 PseMic
332 Kibale 11 9 0 RotUrc
333 Kibale 11 5.6 0 TecNob
334 Kibale 11 14.8 0 TriDre
335 Kibale 11 25.7 0 TriMad
336 Kibale 12 4 0 EryArt
337 Kibale 12 15.6 0 FunEla
338 Kibale 12 12.4 0 MacSpi
339 Kibale 12 14.3 0 SteDaw
340 Kibale 12 7.3 0 TetDid
341 Kibale 12 5.8 0 ZanGol
342 Kibale 13 10.9 0 BliUni
343 Kibale 13 24.5 0 ManSpp
344 Kibale 13 4.3 0 FunEla
345 Kibale 13 13.3 0 FunEla
346 Kibale 13 24 0 MarDis
347 Kibale 13 53.5 0 MaeEmi
348 Kibale 13 61 0 MaeEmi
349 Kibale 13 17.8 0 MotGui
350 Kibale 13 13.7 0 MyrHol
351 Kibale 13 6.9 0 OxyUga
352 Kibale 13 7.2 0 PseMic
353 Kibale 13 4 0 RotUrc
354 Kibale 13 3.8 0 RotUrc
355 Kibale 13 7 0 RotUrc
356 Kibale 14 6.9 0 DicArb
357 Kibale 14 5.4 0 DicArb
358 Kibale 14 50.6 0 EupTre
359 Kibale 14 56.6 0 MaeEmi
360 Kibale 14 37.1 0 MaeEmi
361 Kibale 14 4.2 0 OxySpe
362 Kibale 14 4.6 0 OxySpe
363 Kibale 14 5 0 OxySpe
364 Kibale 14 4.1 0 PseMic
365 Kibale 14 3.9 0 RotUrc
366 Kibale 14 6.7 0 RotUrc
367 Kibale 14 11 0 RotUrc
368 Kibale 14 9 0 RotUrc
369 Kibale 14 6.5 0 RotUrc
370 Kibale 15 11 0 AntTox
371 Kibale 15 7 0 DicArb
372 Kibale 15 4.9 0 DicArb
373 Kibale 15 38 0 ParFil
374 Kibale 15 4.5 0 PycAng
375 Kibale 15 6.1 0 PycAng
376 Kibale 15 13.1 0 RotUrc
377 Kibale 15 8 0 RotUrc
378 Kibale 15 4 0 SpoUga
379 Kibale 15 6.4 0 TetDid
380 Kibale 15 5.9 0 ZanGol
381 Kibale 16 18 0 CelDur
382 Kibale 16 12.4 0 RotUrc
383 Kibale 16 5 0 RotUrc
384 Kibale 16 11 0 RotUrc
385 Kibale 16 4.2 0 RotUrc
386 Kibale 17 9.8 0 PseMic
387 Kibale 17 5.7 0 RotUrc
388 Kibale 17 10.8 0 RotUrc
389 Kibale 17 11.6 0 RotUrc
